first_order_month,months_since,cohort_city,n_active,n_cohort,retention_pct
2017-02-01,0,araguari,1,1,1
2017-02-01,0,arapiraca,3,3,1
2017-02-01,0,arapongas,1,1,1
2017-02-01,0,arara,1,1,1
2017-02-01,0,ararangua,1,1,1
2017-02-01,0,araraquara,3,3,1
2017-02-01,0,araras,1,1,1
2017-02-01,0,araxa,1,1,1
2017-02-01,0,arcos,1,1,1
2017-02-01,0,ariquemes,1,1,1
2017-02-01,0,arroio dos ratos,1,1,1
2017-02-01,0,artur nogueira,1,1,1
2017-02-01,0,aruja,1,1,1
2017-02-01,0,assis,1,1,1
2017-02-01,0,assis chateaubriand,1,1,1
2017-02-01,0,astolfo dutra,1,1,1
2017-02-01,0,atibaia,4,4,1
2017-02-01,0,baependi,1,1,1
2017-02-01,0,bage,2,2,1
2017-02-01,0,baianopolis,1,1,1
2017-02-01,0,balneario arroio do silva,1,1,1
2017-02-01,0,barao de cocais,2,2,1
2017-02-01,0,barbacena,2,2,1
2017-02-01,0,barra bonita,3,3,1
2017-02-01,0,barra de sao joao,1,1,1
2017-02-01,0,barra do pirai,1,1,1
2017-02-01,0,barra mansa,2,2,1
2017-02-01,0,barras,1,1,1
2017-02-01,0,barreirinhas,1,1,1
2017-02-01,0,barretos,1,1,1
2017-02-01,0,barro alto,1,1,1
2017-02-01,0,barrolandia,1,1,1
2017-02-01,0,barueri,4,4,1
2017-02-01,0,batalha,1,1,1
2017-02-01,0,bauru,2,2,1
2017-02-01,0,bebedouro,2,2,1
2017-02-01,0,bela vista de goias,1,1,1
2017-02-01,0,belem,7,7,1
2017-02-01,0,belford roxo,2,2,1
2017-02-01,0,belo horizonte,34,34,1
2017-02-01,0,bento goncalves,3,3,1
2017-02-01,0,bertioga,1,1,1
2017-02-01,0,betim,3,3,1
2017-02-01,0,birigui,1,1,1
2017-02-01,0,blumenau,2,2,1
2017-02-01,0,boa esperanca,1,1,1
2017-02-01,0,boa vista,2,2,1
2017-02-01,0,boca da mata,1,1,1
2017-02-01,0,boituva,2,2,1
2017-02-01,0,bom jardim de minas,1,1,1
2017-02-01,0,bom jesus da lapa,1,1,1
2017-02-01,0,bom jesus do galho,1,1,1
2017-02-01,0,bom jesus do itabapoana,1,1,1
2017-02-01,0,bonfim paulista,1,1,1
2017-02-01,0,botucatu,3,3,1
2017-02-01,0,braganca paulista,2,2,1
2017-02-01,0,brasileia,1,1,1
2017-02-01,0,brasilia,21,21,1
2017-02-01,0,brejo santo,1,1,1
2017-02-01,0,brusque,2,2,1
2017-02-01,0,bugre,1,1,1
2017-02-01,0,buri,1,1,1
2017-02-01,0,buritizeiro,1,1,1
2017-02-01,0,cabo frio,2,2,1
2017-02-01,0,cabrobo,1,1,1
2017-02-01,0,cacador,1,1,1
2017-02-01,0,cacapava,2,2,1
2017-02-01,0,caceres,1,1,1
2017-02-01,0,cachoeira alta,1,1,1
2017-02-01,0,cachoeiras de macacu,1,1,1
